Event,Sport,Slug
Gymnastics Women's Horse Vault,Gymnastics,gymnastics-women-s-horse-vault
Gymnastics Women's Uneven Bars,Gymnastics,gymnastics-women-s-uneven-bars
Gymnastics Women's Balance Beam,Gymnastics,gymnastics-women-s-balance-beam
Diving Women's Springboard,Diving,diving-women-s-springboard
Diving Women's Synchronized Springboard,Diving,diving-women-s-synchronized-springboard
"Athletics Women's 10,000 metres",Athletics,athletics-women-s-10000-metres
Sailing Mixed 7 metres,Sailing,sailing-mixed-7-metres
Judo Women's Half-Middleweight,Judo,judo-women-s-half-middleweight
Athletics Men's Decathlon,Athletics,athletics-men-s-decathlon
Biathlon Men's 10 kilometres Sprint,Biathlon,biathlon-men-s-10-kilometres-sprint
Biathlon Men's 20 kilometres,Biathlon,biathlon-men-s-20-kilometres
Biathlon Men's 4 x 7.5 kilometres Relay,Biathlon,biathlon-men-s-4-x-7-5-kilometres-relay
Freestyle Skiing Men's Moguls,Freestyle Skiing,freestyle-skiing-men-s-moguls
"Wrestling Men's Middleweight A, Greco-Roman",Wrestling,wrestling-men-s-middleweight-a-greco-roman
Athletics Women's Discus Throw,Athletics,athletics-women-s-discus-throw
Swimming Women's 4 x 100 metres Freestyle Relay,Swimming,swimming-women-s-4-x-100-metres-freestyle-relay
"Athletics Women's 1,500 metres",Athletics,athletics-women-s-1500-metres
"Shooting Women's Air Pistol, 10 metres",Shooting,shooting-women-s-air-pistol-10-metres
"Shooting Women's Sporting Pistol, 25 metres",Shooting,shooting-women-s-sporting-pistol-25-metres
"Canoeing Men's Kayak Doubles, 500 metres",Canoeing,canoeing-men-s-kayak-doubles-500-metres
"Canoeing Men's Kayak Singles, 500 metres",Canoeing,canoeing-men-s-kayak-singles-500-metres
"Canoeing Men's Kayak Singles, 1,000 metres",Canoeing,canoeing-men-s-kayak-singles-1000-metres
"Shooting Men's Running Target, 50 metres",Shooting,shooting-men-s-running-target-50-metres
Judo Women's Half-Heavyweight,Judo,judo-women-s-half-heavyweight
Athletics Women's Pole Vault,Athletics,athletics-women-s-pole-vault
Rugby Sevens Women's Rugby Sevens,Rugby Sevens,rugby-sevens-women-s-rugby-sevens
Table Tennis Men's Team,Table Tennis,table-tennis-men-s-team
Figure Skating Mixed Pairs,Figure Skating,figure-skating-mixed-pairs
Freestyle Skiing Men's Aerials,Freestyle Skiing,freestyle-skiing-men-s-aerials
Rowing Women's Coxed Eights,Rowing,rowing-women-s-coxed-eights
Athletics Women's 4 x 400 metres Relay,Athletics,athletics-women-s-4-x-400-metres-relay
Alpine Skiing Women's Giant Slalom,Alpine Skiing,alpine-skiing-women-s-giant-slalom
Alpine Skiing Women's Super G,Alpine Skiing,alpine-skiing-women-s-super-g
Cross Country Skiing Women's 5 kilometres,Cross Country Skiing,cross-country-skiing-women-s-5-kilometres
Cross Country Skiing Women's 10 kilometres,Cross Country Skiing,cross-country-skiing-women-s-10-kilometres
Cross Country Skiing Women's 20 kilometres,Cross Country Skiing,cross-country-skiing-women-s-20-kilometres
"Cycling Men's 1,000 metres Time Trial",Cycling,cycling-men-s-1000-metres-time-trial
"Cycling Men's Individual Pursuit, 4,000 metres",Cycling,cycling-men-s-individual-pursuit-4000-metres
"Wrestling Men's Welterweight, Freestyle",Wrestling,wrestling-men-s-welterweight-freestyle
"Wrestling Men's Bantamweight, Greco-Roman",Wrestling,wrestling-men-s-bantamweight-greco-roman
Rowing Women's Lightweight Double Sculls,Rowing,rowing-women-s-lightweight-double-sculls
Athletics Women's 800 metres,Athletics,athletics-women-s-800-metres
Rowing Women's Coxed Quadruple Sculls,Rowing,rowing-women-s-coxed-quadruple-sculls
Biathlon Men's 12.5 kilometres Pursuit,Biathlon,biathlon-men-s-12-5-kilometres-pursuit
Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,Biathlon,biathlon-mixed-2-x-6-kilometres-and-2-x-7-5-kilometres-relay
Rhythmic Gymnastics Women's Individual,Rhythmic Gymnastics,rhythmic-gymnastics-women-s-individual
"Canoeing Men's Kayak Singles, Slalom",Canoeing,canoeing-men-s-kayak-singles-slalom
Archery Men's Individual,Archery,archery-men-s-individual
Archery Men's Team,Archery,archery-men-s-team
"Speed Skating Women's 1,500 metres",Speed Skating,speed-skating-women-s-1500-metres
Speed Skating Women's Team Pursuit (6 laps),Speed Skating,speed-skating-women-s-team-pursuit-6-laps
Cross Country Skiing Men's Sprint,Cross Country Skiing,cross-country-skiing-men-s-sprint
Athletics Women's 400 metres,Athletics,athletics-women-s-400-metres
Figure Skating Women's Singles,Figure Skating,figure-skating-women-s-singles
"Speed Skating Men's 1,000 metres",Speed Skating,speed-skating-men-s-1000-metres
Trampolining Men's Individual,Trampolining,trampolining-men-s-individual
Beach Volleyball Men's Beach Volleyball,Beach Volleyball,beach-volleyball-men-s-beach-volleyball
"Cycling Women's Mountainbike, Cross-Country",Cycling,cycling-women-s-mountainbike-cross-country
"Athletics Men's Javelin Throw, Both Hands",Athletics,athletics-men-s-javelin-throw-both-hands
Triathlon Women's Olympic Distance,Triathlon,triathlon-women-s-olympic-distance
Gymnastics Women's Team Portable Apparatus,Gymnastics,gymnastics-women-s-team-portable-apparatus
"Cycling Men's Mountainbike, Cross-Country",Cycling,cycling-men-s-mountainbike-cross-country
Athletics Women's 400 metres Hurdles,Athletics,athletics-women-s-400-metres-hurdles
Diving Men's Springboard,Diving,diving-men-s-springboard
